Repositorio/Año,Mes,Categoría,Nombre del archivo,Ruta completa,Tamaño del archivo (bytes),Palabras clave detectadas
2015,Agosto,Créditos,QueryCredGarPlazoFijo.sql,Agosto2015/JZuritaPlazoFijo/QueryCredGarPlazoFijo.sql,5486,"cred, gar"
2015,Agosto,Otros,QueryBL.sql,Agosto2015/CasoBelaundeLossio/QueryBL.sql,7084,
2015,Agosto,Garantías,QueryGarantPropi.sql,Agosto2015/PropietarioGarantias/QueryGarantPropi.sql,1034,gar
2015,Agosto,Créditos,QueryDesembolsos.sql,Agosto2015/CredDesembCPuris/QueryDesembolsos.sql,1809,cred
2015,Julio,Expedientes,QueryExpedienteAgSanFrancisco.sql,Agosto2015/ExpJuanJulio/QueryExpedienteAgSanFrancisco.sql,2424,exp
2015,Agosto,Cartera,QueryCFRango.sql,Agosto2015/CartasFianzasJefRegional/QueryCFRango.sql,11328,cart
2015,Agosto,Créditos,QueryCredAprobAdm.sql,Agosto2015/CredAprobAdm/QueryCredAprobAdm.sql,5523,cred
2015,Agosto,Créditos,QueryCreModalidad.sql,Agosto2015/BelissaCreditoModalidad/QueryCreModalidad.sql,5390,cred
2015,Agosto,Otros,QueryAval.sql,Agosto2015/Aval/QueryAval.sql,1150,
2015,Julio,Créditos,QueryCredHipoWS.sql,Agosto2015/CredHipJulio2015/QueryCredHipoWS.sql,18281,cred
2015,Agosto,Créditos,QueryCredEmpresariales.sql,Agosto2015/CredEmpresarialesBellisaJuandDios/QueryCredEmpresariales.sql,9306,cred
2015,Agosto,Análisis Geográfico,QueryZonaAgencia.sql,Agosto2015/AgenciasZona/QueryZonaAgencia.sql,1461,zona
2015,Agosto,Morosidad,QueryTramosvencido.sql,Agosto2015/TramosVencido/QueryTramosvencido.sql,3399,vencido
2015,Agosto,Otros,QueryPromedioDiasMora.sql,Agosto2015/PromedioDiasMora/QueryPromedioDiasMora.sql,706,
2015,Agosto,Otros,QuerySextorTransporte.sql,Agosto2015/JoseZurita/QuerySextorTransporte.sql,13490,
2015,Agosto,Otros,QueryCompletarCampos.sql,Agosto2015/BelissaCompletarCampos/QueryCompletarCampos.sql,6894,
2015,Agosto,Otros,QueryGenmKardex.sql,Agosto2015/BelissaCompletarCampos/QueryGenmKardex.sql,21559,
2015,Agosto,Clientes,QueryEEFF.sql,Agosto2015/EEFFClientsNoMinoristas/QueryEEFF.sql,7065,"cli, eeff"
